Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,9,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,9,25.54357569077777,434.1091028671209,1.0,1,,,,,1.1428696770463451,3.392902494544742,0.3355744371317587,636,,,,314298
08:15:00.000+05:30,08:30:00.000+05:30,5,24.072924387799596,307.2996879836181,2.0,2,,,,,1.141151873145865,1.3867405040260137,0.5642804001155795,454,,,,273688
08:30:00.000+05:30,08:45:00.000+05:30,2,14.16169065485398,110.2605237257005,,,,,,,0.8084134926841895,1.2899492136001776,0.3268777717682015,157,,,,
08:45:00.000+05:30,09:00:00.000+05:30,4,14.16169065485398,95.44831234832715,,,,,,,0.3268777751369524,0.3268777751369524,0.3268777751369524,159,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,14.16169065485398,15.690133536711311,,,,,,,0.2615022256118552,0.2615022256118552,0.2615022256118552,24,,,,
09:15:00.000+05:30,09:30:00.000+05:30,5,15.277252855477695,140.25342476618974,,,,,,,0.49814508154440784,1.2381370853220335,0.2723981516790158,212,,,,30805
09:30:00.000+05:30,09:45:00.000+05:30,7,14.16169065485398,175.06632466574388,,,,,,,0.6618138259394891,0.9967498868428537,0.3268777650361246,266,,,,
09:45:00.000+05:30,10:00:00.000+05:30,2,14.16169065485398,47.677652359668485,,,,,,,0.32687775810604586,0.32687775810604586,0.32687775810604586,86,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,6,15.063483543019267,212.47055830963237,,,,,,,0.43364685510886625,0.6871157029832762,0.3268777732063232,325,,,,24902
11:15:00.000+05:30,11:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,8,25.802177530565274,318.6715070355176,2.0,2,,,,,0.8698788707158424,1.3713870875983218,0.3428243616296938,469,,,,321439
13:45:00.000+05:30,14:00:00.000+05:30,,14.16169065485398,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,8,32.36550743411474,316.18930517613035,,,,,,,0.6955490437770814,1.3611218449257338,0.3268777610946423,463,,,,502678
14:15:00.000+05:30,14:30:00.000+05:30,,14.161690654853981,14.88688739412606,,,,,,,0.2615022256118552,0.2615022256118552,0.2615022256118552,23,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,14.161690654853981,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,14.161690654853981,,,,,,,,,,,42,,,,
16:15:00.000+05:30,16:30:00.000+05:30,4,24.9104520435288,232.62127086213408,1.0,1,,,,,1.2652943622731696,2.4666634549457895,0.9289385135794255,341,,,,296815
